drug_serial	drug_all_name	highest_phase	disease_condition	formula	target_name	target_id	tr_smiles	modulator_serial	mod_feature	cas_id	basic_patent	drugbank_id	pubmed_id	ref_title
ADR000026	Basimglurant	Phase II	Fragile X syndrome	C18H13ClFN3	Metabotropic glutamate receptor 5	ASD01910000_1		ASD01910221	Inhibitor	802906-73-6		DB11833	25565255	Metabotropic glutamate receptor 5 negative allosteric modulators: discovery of 2-chloro-4-[1-(4-fluorophenyl)-2,5-dimethyl-1H-imidazol-4-ylethynyl]pyridine (basimglurant, RO4917523), a promising novel medicine for psychiatric diseases.
ADR000027	HTL-0014242; HTL-14242	Phase I	Neurological disorders; Psychiatric disorders	C16H8ClFN4	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc(nc1)-c1cc(ncn1)-c1cc(Cl)cc(c1)C#N	ASD01918084	Inhibitor	1644645-32-8	WO 2015008073		26225459	Fragment and Structure-Based Drug Discovery for a Class C GPCR: Discovery of the mGlu5 Negative Allosteric Modulator HTL14242 (3-Chloro-5-[6-(5-fluoropyridin-2-yl)pyrimidin-4-yl]benzonitrile).
ADR000028	Vercirnon	Phase III	Inflammatory bowel disease	C22H21ClN2O4S	C-C chemokine receptor type 9	ASD16580000_1		ASD16580001	Inhibitor	698394-73-9		DB15250	27926729	Intracellular allosteric antagonism of the CCR9 receptor.
ADR000029	Avacopan	Phase III	ANCA-Associated Vasculitis	C33H35F4N3O2	C5a anaphylatoxin chemotactic receptor 1 	ASD11780000_1		ASD03160012	Inhibitor	1346623-17-3		DB15011	29867214	Orthosteric and allosteric action of the C5a receptor antagonists.
ADR000030	SHP099	Phase I	cancer	C16H19Cl2N5	Tyrosine-protein phosphatase non-receptor type 11	ASD09200000_1		ASD09200001	Inhibitor	1801747-42-1			27347692	Allosteric Inhibition of SHP2: Identification of a Potent, Selective, and Orally Efficacious Phosphatase Inhibitor.
ADR000031	BPN14770	Phase II	Alzheimer's disease,Fragile X Syndrome	C19H14ClF3N4O	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	ASD02190000_1		ASD02190027	Inhibitor	1606975-12-5	US2015119362	DB14790		
ADR000032	BIND-2206; MK-2206; NSC-749607	Phase II	Leukemia, acute myeloid; Neuroendocrine cancer; Cancer, biliary; Cancer, liver (hepatocellular carcinoma); Cancer, nasopharynx; Cancer, breast; Cancer, prostate; Cancer, lung (non-small cell) (NSCLC); Lymphoma; Cancer, solid tumor; Cancer, gastroesophageal junction; Cancer, endometrium; Cancer, kidney (renal cell carcinoma); Melanoma; Cancer, colorectal; Cancer, fallopian tube; Cancer, pancreas metastatic; Cancer, peritoneum; Cancer, ovary (serous); Cancer, stomach (adenocarcinoma)	C25H21N5O	RAC-alpha serine/threonine-protein kinase 	ASD03240000_1	NC1(CCC1)c1ccc(cc1)-c1nc2C=CN3C(=O)NN=C3c2cc1-c1ccccc1 |c:16,22|	ASD00060026	Inhibitor	1032350-13-2	CN 106822904; CN 108187052; US 2013116274; WO 2006135627; WO 2008070016; WO 2008070041; WO 2010101734; WO 2010138377; WO 2012015741; WO 2013009535; WO 2014047398; WO 2015094928; WO 2015097667; WO 2015142605; WO 2016109665; WO 2016209688; WO 2017037578; WO 2017109778			
ADR000033	Alvocidib	Phase II	cancer	C21H20ClNO5	Cyclin-dependent kinase 2 	ASD04590000_1		ASD01320080	Inhibitor	146426-40-6		DB03496	10924512	Flavopiridol inhibits glycogen phosphorylase by binding at the inhibitor site.
ADR000034	filibuvir	Phase II	Hepatitis C	C29H37N5O3	RNA-directed RNA polymerase	ASD13070000_1		ASD09990001	Inhibitor	877130-28-4		DB11878	19209845	Discovery of (R)-6-cyclopentyl-6-(2-(2,6-diethylpyridin-4-yl)ethyl)-3-((5,7-dimethyl-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)methyl)-4-hydroxy-5,6-dihydropyran-2-one (PF-00868554) as a potent and orally available hepatitis C virus polymerase inhibitor.
ADR000035	lomibuvir	Phase II	Hepatitis C	C25H35NO4S	RNA-directed RNA polymerase	ASD13070000_1		ASD09990003	Inhibitor	1026785-55-6	US2013273003	DB11954		
ADR000036	BMS-929075	Phase I	Hepatitis C (HCV)	C31H24F2N4O3	RNA-directed RNA polymerase	ASD13070000_1		ASD14560001	Inhibitor	1217338-97-0	WO 2010030592	DB14950	28430437	Discovery of a Hepatitis C Virus NS5B Replicase Palm Site Allosteric Inhibitor (BMS-929075) Advanced to Phase 1 Clinical Studies.
ADR000037	Mitapivat	Phase II	Thalassaemia	C24H26N4O3S	Pyruvate kinase isozymes M1/M2	ASD02500000_2		ASD02500326	Inhibitor	1260075-17-9				
ADR000038	ABL-001; ABL-001-NX; L1F3R18W77 (UNII code), Asciminib(USAN; Rec INN)	Phase III	 Chronic Myelogenous Leukemia	C20H18ClF2N5O3	Tyrosine-protein kinase ABL1	ASD03320000_1	O[C@@H]1CCN(C1)c1ncc(cc1-c1ccn[nH]1)C(=O)Nc1ccc(OC(F)(F)Cl)cc1	ASD03320068	Inhibitor	1492952-76-7	WO 2013171639; WO 2018060843	DB12597	28329763	The allosteric inhibitor ABL001 enables dual targeting of BCR-ABL1.
ADR000039	VM-902A	Phase II	Pain, chronic		High affinity nerve growth factor receptor	ASD07480000_1		ASD07480051	Inhibitor					
ADR000040	GS-0976; ND-630; NDI-010976; NDI-630, Firsocostat(Prop INN)	Phase II	Non-alcoholic steatohepatitis; Obesity; Diabetes	C28H31N3O8S	Acetyl-CoA carboxylase 1;Acetyl-CoA carboxylase 2	ASD13150000_1;ASD13160000_1	COc1ccccc1[C@H](CN1c2sc(c(C)c2C(=O)N(C1=O)C(C)(C)C(O)=O)-c1ncco1)OC1CCOCC1	ASD00430003	Inhibitor;Inhibitor	1434635-54-7 	CN 107629069; WO 2013071169; WO 2016112305; WO 2017151816; WO 2018161022; WO 2018183193; WO 2018183342; WO 2018193007		26976583	Acetyl-CoA carboxylase inhibition by ND-630 reduces hepatic steatosis, improves insulin sensitivity, and modulates dyslipidemia in rats.
ADR000041	Efaproxiral	Phase III	Metastatic Cancers	C20H23NO4	Hemoglobin subunit alpha 	ASD03910000_1		ASD03910095	Regulator	131179-95-8		DB08486	1995897	Allosteric modifiers of hemoglobin. 1. Design, synthesis, testing, and structure-allosteric activity relationship of novel hemoglobin oxygen affinity decreasing agents.
ADR000042	MYK-461; SAR-439152, Mavacamten(Rec INN)	Phase III	Obstructive Hypertrophic Cardiomyopathy	C15H19N3O2	Myosin-7	ASD08190000_2	CC(C)N1C(=O)NC(N[C@@H](C)c2ccccc2)=CC1=O |c:17|	ASD08190002	Activator	1642288-47-8	US 2016030428; US 2017281626; US 2018311242; WO 2014205223	DB14921	26912705	A small-molecule inhibitor of sarcomere contractility suppresses hypertrophic cardiomyopathy in mice.
ADR000043	AGI-006; STX-209, (R)-(-)-Baclofen; Arbaclofen(Prop INN; USAN); D-Baclofen; l-Baclofen, Ontinua ER	Preclinical	Autism spectrum disorders; Delayed gastric emptying (gastroparesis); Fragile X syndrome; Dyspepsia; Spasticity; Gastroesophageal reflux disease (GERD)	C10H12ClNO2	Gamma-aminobutyric acid type B receptor	ASD01150000_1	NC[C@H](CC(O)=O)c1ccc(Cl)cc1	ASD01150002	Activator	1134-47-0; 69308-37-8	US 2015342956; US 2016243067; US 2016243072; US 2016263043; US 2017216236; US 2017340570; US 2017340592; US 2017354625; US 2018000813; US 2018200214; US 2018200215; WO 1994025016; WO 2005025559; WO 2008066750; WO 2009153889; WO 2016132217; WO 2016132218; WO 2016132220; WO 2016132233; WO 2016195679; WO 2016195723			
ADR000044	Lactoquinomycin; Lactoquinomycin A; Medermycin	Preclinical	Infection, bacterial; Cancer		RAC-alpha serine/threonine-protein kinase	ASD03240000_1	C[C@H]1O[C@H](C[C@H]([C@@H]1O)N(C)C)c1ccc2C(=O)C3=C([C@@H](C)O[C@@H]4CC(=O)O[C@H]34)C(=O)c2c1O |t:18|		Inhibitor	60227-09-0; 100100-36-5 (deleted CAS)	WO 2007127218			
ADR000045	Hispidulin; Hispiduline	Preclinical	Ischemia, cerebral; Asthma; Psychiatric Disorders; Liver diseases; Cancer	C16H12O6	Gamma-aminobutyric acid receptor subunit alpha-6;Gamma-aminobutyric acid receptor subunit beta3;Gamma-aminobutyric acid receptor subunit gamma2	ASD01140000_16;ASD01140000_10;ASD01140000_1	COc1c(O)cc2OC(=CC(=O)c2c1O)c1ccc(O)cc1 |c:8|	ASD01140493	Activator;Activator;Activator	1447-88-7	CN 102151281; JP 1999180867; KR 2018096163; US 2012029066; WO 1987002981			
ADR000046	RSR-13, Efaproxiral sodium(Rec INNM; USAN), Efaproxyn; Revaproxyn	Phase II	Cancer, breast metastatic; Surgery, arterial coronary; Stroke; Cancer, cervix; Myocardial infarction; Chronic heart failure; Cancer, lung (non-small cell) (NSCLC); Glioma; Angina pectoris, stable	C20H22NNaO4	Hemoglobin	ASD03910000_1	[Na+].Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C([O-])=O)cc2)c1	ASD03910145	Inhibitor	170787-99-2; 131179-95-8 (free acid)	US 5432191; US 5525630; US 5648375; US 5677330; US 5705521; US 5731454; US 5827888; WO 1991012235; WO 1992020335; WO 1997034594; WO 1999048490; WO 1999049847; WO 2002068930; WO 2005102305; WO 2005102308; WO 2005102367; WO 2006017491; WO 2007123126; WO 2012075244			
ADR000047	PD-81723	Preclinical	Arrhythmia; Ischemia-reperfusion injury, renal	C14H12F3NOS	Adenosine receptor A1	ASD00170000_1	Cc1sc(N)c(C(=O)c2cccc(c2)C(F)(F)F)c1C	ASD00170026	Activator	132861-87-1	WO 2002009701			
ADR000048	IDRA-21	Preclinical	Cognitive disorders	C8H9ClN2O2S	Glutamate receptor 1	ASD03930000_1	CC1Nc2ccc(Cl)cc2S(=O)(=O)N1	ASD01230006	Activator	22503-72-6	US 5488049; WO 2002089848			
ADR000049	CR-2249; XY-2401, Neboglamine(Rec INN); Nebostinel(former INN)	Phase II	Depression; Cocaine dependency; Schizophrenia; Cognitive disorders; Substance abuse and dependence	C13H24N2O3	Glutamate receptor ionotropic, NMDA 2A	ASD02030000_4	CC1(C)CCC(CC1)NC(=O)[C@@H](N)CCC(O)=O	ASD02030757	Regulator	163000-63-3	WO 1994020454; WO 2005115373; WO 2007039869			
ADR000052	Org-21465	Phase I	Anesthesia	C27H43NO4	Gamma-aminobutyric acid-A receptor	ASD01140000_1	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOC(C)(C)C1	ASD01140531	Activator	167946-96-5	EP 0656365			
ADR000053	UC-781	Phase II	Infections, sexually transmitted; Infection, HIV	C17H18ClNO2S	Reverse Transcriptase/Ribonuclease H	ASD11920000_1	[#6]\[#6](-[#6])=[#6]\[#6]-[#8]-c1cc(-[#7]-[#6](=S)-c2ccoc2-[#6])ccc1Cl	ASD02560025	Inhibitor	178870-32-1	WO 1997019940; WO 1997045116			
ADR000054	S-18986	Phase I	Stroke; Cognitive disorders	C10H12N2O2S	Glutamate receptor 1	ASD03930000_1	O=S1(=O)N[C@H]2CCCN2c2ccccc12	ASD01230045	Activator	175340-20-2	CA 2153549; WO 2002089848			
ADR000055	CX-614	Preclinical	Cognitive disorders	C13H13NO4	Glutamate receptor 1	ASD03930000_1	O=C1N2CCCC2Oc2cc3OCCOc3cc12	ASD01230002	Activator		WO 1997036907; WO 2004062616; WO 2007124348; WO 2008025148; WO 2008027648; WO 2008118644			
ADR000056	SK&F-83959; SKF-83959	Preclinical	Parkinson's disease	C18H20ClNO2	Sigma non-opioid intracellular receptor 1	ASD02690000_1	CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c1cccc(C)c1	ASD02690003	Regulator	80751-85-5	CN 106924735; US 4192872; WO 2012127871			
ADR000057	CX-691; Org-24448, Farampator(USAN; Rec INN)	Phase II	Depression; Schizophrenia	C12H13N3O2	Glutamate receptor 1	ASD03930000_1	O=C(N1CCCCC1)c1ccc2nonc2c1	ASD01230364	Activator	211735-76-1	WO 1998035950; WO 1999021422; WO 2004062616			
ADR000058		Preclinical	Parkinson's disease	C16H25ClN4O3S	D(2) dopamine receptor	ASD00990000_1	Cl.NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12	ASD00990078	Regulator	221040-35-3				
ADR000059	ATx-201; Bay-2353; VU-0243604, Niclosamide, Niclocide; Tredemine; Yomesan	Approved	Infection, skin; Infection, viral; Infection, Zika virus; Impetigo; Infection, bacterial; Dermatitis, atopic; Rheumatoid arthritis; Cancer; Infection, helminthic	C13H8Cl2N2O4	Cytochrome P450 1A2;Neuropeptide Y receptor type 4	ASD13210000_1;ASD13410000_1	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	ASD01870108	Inhibitor;Activator	50-65-7	CN 102432493; CN 102697760; CN 103864641; CN 104971059; CN 105030747; CN 105348069; CN 106176700; CN 106431949; CN 107184600; CN 108815147; CN 108815148; EP 3308780; US 2013150416; US 2015065526; US 2017056347; US 2018015153; US 2018280372; WO 2004006906; WO 2005060951; WO 2008021088; WO 2008155535; WO 2009032749; WO 2009118706; WO 2011035321; WO 2012051633; WO 2012068274; WO 2012143377; WO 2014023732; WO 2015065919; WO 2016038035; WO 2016201354; WO 2017048197; WO 2017050297; WO 2017127397; WO 2017157997; WO 2017210117; WO 2017223491; WO 2018128515; WO 2018128517; WO 2018133212; WO 2018173069			
ADR000060	SB-269652	Preclinical	Psychosis	C28H31N3O	D(2) dopamine receptor;D(3) dopamine receptor	ASD00990000_1;ASD04640000_1	O=C(N[C@H]1CC[C@H](CCN2CCc3ccc(cc3C2)C#N)CC1)c1cc2ccccc2[nH]1 |r,wU:3.2,wD:6.6,(4.41,.32,;4.87,-1.35,;3.53,-2.11,;2.2,-1.34,;.86,-2.09,;-.46,-1.32,;-.46,.22,;-1.79,.99,;-3.12,.22,;-4.45,1,;-4.45,2.55,;-5.79,3.33,;-7.12,2.55,;-8.46,3.31,;-9.79,2.54,;-9.79,1,;-8.45,.23,;-7.13,1,;-5.79,.23,;-11.13,.22,;-12.45,.98,;.87,.99,;2.21,.21,;6.41,-1.35,;7.31,-.11,;8.78,-.59,;10.11,.18,;11.44,-.57,;11.45,-2.13,;10.11,-2.89,;8.78,-2.13,;7.31,-2.6,)|	ASD00990086	Regulator;Regulator	215802-15-6	WO 1998050364			
ADR000063	T-62	Phase II	Pain, neuropathic; Neuralgia, postherpetic (PHN)	C15H14ClNOS	Adenosine receptor A1	ASD00170000_1	Nc1sc2CCCCc2c1C(=O)c1ccc(Cl)cc1	ASD00170401	Activator	40312-34-3	US 2009023799; US 6248774; WO 2008051760; WO 2008147939			
ADR000064	LY-404187	Preclinical	Depression; Cognitive disorders	C19H22N2O2S	Glutamate receptor 1	ASD03930000_1	CC(C)S(=O)(=O)NCC(C)c1ccc(cc1)-c1ccc(cc1)C#N	ASD03930208	Activator	211311-95-4	WO 1998033496; WO 2000006537			
ADR000065	LUF-5484	Preclinical	Others	C15H13Cl2NOS	Adenosine receptor A1	ASD00170000_1	Nc1sc2CCCCc2c1C(=O)c1ccc(Cl)c(Cl)c1	ASD00170347	Activator	247206-93-5				
ADR000066	LY-487379	Preclinical	Anxiety disorder	C21H19F3N2O4S	Metabotropic glutamate receptor 2	ASD01880000_1	COc1ccccc1Oc1ccc(cc1)N(Cc1cccnc1)S(=O)(=O)CC(F)(F)F	ASD01880002	Activator	353231-17-1; 353229-59-1 (hydrochloride)	WO 2001056990			
ADR000067	CGP-7930	Preclinical	Epilepsy; Anxiety disorder; Depression; Smoking cessation therapy; Cocaine dependency; Pain, neuropathic; Psychosis; Alcoholism	C19H32O2	Gamma-aminobutyric acid type B receptor	ASD01150000_1	CC(C)(CO)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	ASD01150047	Activator		WO 2011113904			
ADR000068	LY-503430	Preclinical	Parkinson's disease	C20H25FN2O3S	Glutamate receptor 1	ASD03930000_1	CNC(=O)c1ccc(cc1)-c1ccc(cc1)[C@](C)(F)CNS(=O)(=O)C(C)C	ASD03930235	Activator	305445-26-5 (undefined stereoch.)	WO 2000066546; WO 2002032389			
ADR000069	GS-39783	Preclinical	Cocaine dependency	C15H23N5O2S	Gamma-aminobutyric acid type B receptor	ASD01150000_1	CSc1nc(NC2CCCC2)c(c(NC2CCCC2)n1)[N+]([O-])=O	ASD01150005	Activator					
ADR000071	VAS-203, 4-Amino-tetrahydro-L-biopterine; Ronopterin(Rec INN)	Phase III	Traumatic brain injury	C9H16N6O2	Nitric oxide synthase, endothelial	ASD03390000_2	[H][C@@]1(CNc2nc(N)nc(N)c2N1)[C@@H](O)[C@H](C)O |r|	ASD03390001	Inhibitor	206885-38-3 (free base)	WO 2004084906; WO 2006058669; WO 2015150294			
ADR000073	TP-003	Preclinical	Epilepsy; Anxiety disorder	C23H16F3N3O	Gamma-aminobutyric acid receptor subunit alpha-3;Gamma-aminobutyric acid receptor subunit beta3;Gamma-aminobutyric acid receptor subunit gamma2	ASD01140000_13;ASD01140000_10;ASD01140000_1	CC(C)(O)c1ccn2c(cnc2c1F)-c1ccc(F)c(c1)-c1ccc(F)cc1C#N	ASD01140210	Activator;Activator;Activator	628690-75-5	WO 2003099816; WO 2017129801			
ADR000074	BINA, Biphenyl-indanone A	Preclinical	Anxiety disorder; Cocaine dependency; Schizophrenia	C30H30O4	Metabotropic glutamate receptor 2	ASD01880000_1	Cc1c2C(=O)C(Cc2cc(OCc2cccc(c2)-c2ccc(cc2)C(O)=O)c1C)C1CCCC1	ASD01880092	Activator	866823-73-6	WO 2006015158			
ADR000075	ITPP; ITPP sodium salt; OXY-111-A; OXY-111A, Inositol Tripyrophosphate; myo-Inositol Trispyrophosphate	Phase I	Heart failure; Cancer	C6H7Na5O21P6	Hemoglobin	ASD03910000_1	[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]P1(=O)O[C@H]2[C@H](OP([O-])(=O)O1)[C@H]1OP([O-])(=O)OP([O-])(=O)O[C@@H]1[C@@H]1OP([O-])(=O)OP([O-])(=O)O[C@H]21	ASD03910146	Inhibitor	23103-35-7	US 2006106000; US 2006258626; US 2007135389; US 2012003161; US 2014142052; WO 2008082658; WO 2008134082; WO 2014143939			
ADR000076	NSC-216666; PNU-120596	Preclinical	Schizophrenia	C13H14ClN3O4	Neuronal acetylcholine receptor subunit alpha-7	ASD03090000_1	COc1cc(OC)c(NC(=O)Nc2cc(C)on2)cc1Cl	ASD03090012	Activator	501925-31-1	WO 2003093250; WO 2006067611; WO 2008028903			
